anime_id,name,score,genres,type,episodes,aired_start,premiered,status,studios,source,rating,rank,popularity,favorites,scored_by
3221,Shakugan no Shana-tan Movie,7.11,"Adventure, Comedy, Fantasy",Special,1,2007,summer 2007,Finished,J.C.Staff,,PG-13,3505,4216,13,10907
17397,Cyclops Shoujo Saipuu,5.73,"Comedy, Slice of Life, Ecchi",ONA,12,2013,winter 2013,Finished,,4-koma manga,PG-13,9944,3126,36,19393
17359,Peeping Life: The Perfect Explosion,5.38,"Comedy, Slice of Life",OVA,10,2012,fall 2012,Finished,,Original,G,11134,14293,0,147
36122,Ryuudouji Shimon no Inbou,6.36,Hentai,OVA,2,2017,fall 2017,Finished,Anime Antenna Iinkai,Visual novel,Rx,,8269,24,1777
3201,Pure-tou no Nakama-tachi,6.48,Fantasy,TV,26,1983,summer 1983,Finished,,,G,6491,12829,4,346
17325,Ajin Senshi,6.0,"Fantasy, Sci-Fi",Movie,1,1990,fall 1990,Finished,Magic Bus,,PG-13,8816,11009,0,231
3190,Guitar wo Motta Shounen: Kikaider vs. Inazuman,6.35,Sci-Fi,Special,1,2003,summer 2003,Finished,"Radix, Studio OX",,PG-13,7130,11740,1,507
3186,Sekai Meisaku Douwa: Hakuchou no Mizuumi,6.88,"Drama, Fantasy, Romance",Movie,1,1981,winter 1981,Finished,Toei Animation,,G,4475,8698,20,1758
36083,Lostorage Conflated WIXOSS: Missing Link,6.5,,OVA,1,2017,fall 2017,Finished,J.C.Staff,Card game,R,6402,7674,2,1454
38674,Higashi Asia Bunka Toshi 2019 Toshima,5.58,Slice of Life,ONA,1,2018,fall 2018,Finished,,Original,G,10515,14519,1,258
19575,Kobayashi ga Kawai sugite Tsurai!!,6.16,Romance,OVA,2,2013,summer 2013,Finished,,Manga,PG-13,8049,6028,8,4263
3178,Hengen Taima Yakou Karura Mau! Nara Onryou Emaki,6.33,"Action, Adventure, Fantasy, Horror, Supernatural",Movie,1,1989,spring 1989,Finished,,Manga,R,7211,10412,3,753
49989,Yamitsuki Pheromone The Animation,6.46,Hentai,ONA,2,2021,summer 2021,Finished,Shion,Manga,Rx,,8925,6,1496
38678,Kimi no Matsu Mirai (Basho) e,5.75,"Sci-Fi, Slice of Life",ONA,1,2018,fall 2018,Finished,,Original,G,9888,11033,0,850
3171,Ryoujoku Hitozuma Onsen,6.42,Hentai,OVA,2,2005,fall 2005,Finished,"Kazuki Production, Studio March",Visual novel,Rx,,8287,11,1661
38688,Meng Ta: Xue Mi Cheng,5.87,"Action, Adventure, Fantasy, Mystery, Supernatural",ONA,13,2018,spring 2018,Finished,,Original,PG-13,9419,13166,5,202
17295,Cosmic Break,5.84,Drama,ONA,4,2010,summer 2010,Finished,,Game,PG-13,9532,13632,1,200
50001,Tom to Jerry,6.3,Comedy,Special,1,2021,winter 2021,Finished,,Other,G,7420,16052,0,179
3175,Kaitei Choutokkyuu: Marine Express,6.34,"Action, Adventure, Comedy, Drama, Sci-Fi",Special,1,1979,summer 1979,Finished,Tezuka Productions,,PG-13,7191,11370,3,606
